"Ticker","Nome","Negócios","Última (R$)","Variação"
"GGBR3","Gerdau","22.800","16,77","-1,99%"
"RPMG3","Refinaria de Manguinhos","21.700","3,05","+1,33%"
"ALUP4","Alupar","21.400","9,74","+0,00%"
"LAND3","Terra Santa","20.200","13,20","+1,54%"
"BEES3","Banestes","18.300","8,88","-0,78%"
"VSTE3","LE LIS BLANC","16.800","10,40","-5,37%"
"VIVR3","Viver","16.000","1,71","-1,72%"
"BMEB4","Banco Mercantil do Brasil","15.800","39,15","-0,76%"
"PDTC3","Padtec","15.700","1,85","+0,00%"
"RAPT3","Randon","13.900","8,88","+0,11%"
"ATMP3","Atma","12.500","1,47","+4,26%"
"UCAS3","Unicasa","11.800","2,19","+0,46%"
"TASA3","Taurus","10.800","10,86","+1,21%"
"SNSY5","Sansuy","10.400","5,42","-0,55%"
"WHRL3","Whirlpool","10.200","4,18","-1,42%"
"PINE3","Banco Pine","9.900","5,25","+0,00%"
"ENGI4","Energisa","8.700","7,68","-0,65%"
"ALUP3","Alupar","8.100","10,09","+0,50%"
"SCAR3","São Carlos","7.600","22,35","+1,54%"
"INEP4","Inepar","7.500","1,81","-0,55%"
"BRKM3","Braskem","7.300","19,29","-2,08%"
"PTNT4","Pettenati","7.200","6,42","-1,08%"
"BRSR3","Banrisul","6.900","13,31","-1,19%"
"RNEW11","Renova Energia","6.600","3,10","-3,12%"
"ALPA3","Alpargatas","6.400","6,76","-0,88%"
"HAGA4","Haga","6.300","1,17","-1,68%"
"EPAR3","Embpar Participações","5.800","5,53","+0,18%"
"OFSA3","Ourofino Saúde Animal","5.600","20,74","+3,70%"
"MGEL4","Mangels","5.400","11,00","+0,00%"
"CEBR6","CEB","5.300","18,01","+0,06%"
"EALT4","Electro Aço Altona","5.100","13,85","-1,07%"
"NINJ3","GetNinjas","5.000","4,72","+0,43%"
"OSXB3","OSX Brasil","4.900","4,52","+0,67%"
"CTSA4","Santanense","4.300","1,19","-0,83%"
"LVTC3","WDC Networks","4.200","3,83","+1,32%"
"EQPA3","Equatorial Energia Pará","4.000","6,06","+0,17%"
"UNIP3","Unipar","3.800","45,80","-0,13%"
"FHER3","Fertilizantes Heringer","3.500","3,82","-0,78%"
"DASA11","DASA11","3.500","0,81","-8,99%"
"FRIO3","Metalfrio","3.100","100,00","-6,16%"
"BPAC5","Banco BTG Pactual","3.100","8,34","-0,48%"
"TELB4","Telebras","2.800","9,28","-4,23%"
"RSUL4","Metalúrgica Riosulense","2.700","61,49","+0,24%"
"ENGI3","Energisa","2.600","13,27","+0,68%"
"MNPR3","Minupar","2.200","18,50","-0,54%"
"BPAC3","Banco BTG Pactual","2.100","15,73","+0,77%"
"BEES4","Banestes","2.100","9,30","-0,96%"
"CRPG5","Tronox Pigmentos","2.000","25,79","+1,10%"
"HOOT4","Hotéis Othon","2.000","2,24","-0,44%"
"MTSA4","Metisa","1.800","37,06","-2,32%"
"DEXP4","Dexxos","1.800","8,93","-0,11%"
"REDE3","Rede Energia","1.700","6,84","-0,58%"
"OIBR4","Oi","1.500","11,16","-0,62%"
"NORD3","Nordon","1.400","8,20","-7,87%"
"NUTR3","Nutriplant","1.400","4,59","+0,00%"
"RDNI3","RNI","1.400","3,05","-2,24%"
"HAGA3","Haga","1.400","2,50","+2,46%"
"NEXP3","Brasil Brokers","1.300","4,03","-0,49%"
"CEBR5","CEB","1.100","16,84","+0,96%"
"BAZA3","Banco da Amazônia","1.000","92,15","+0,53%"
"HETA4","Hercules","1.000","6,51","+3,33%"
"BNBR3","Banco do Nordeste","900","113,99","+9,61%"
"EMAE4","EMAE","900","39,69","+1,33%"
"CEEB3","COELBA","900","38,71","+0,03%"
"CTSA3","Santanense","900","2,21","-11,24%"
"AMAR11","Lojas Marisa","900","0,43","-8,51%"
"EALT3","Electro Aço Altona","800","14,60","+0,00%"
"COCE5","Coelce","700","27,00","+0,97%"
"CGRA4","Grazziotin","700","25,50","-0,39%"
"MNDL3","Mundial","700","16,60","-1,19%"
"FIEI3","Fica","700","10,00","+8,58%"
"TRPL3","Transmissão Paulista","600","31,07","-0,96%"
"CPLE5","Copel","600","12,81","+6,66%"
"EQMA3B","Equatorial Maranhão","500","23,70","+0,89%"
"BIOM11","Biomm","500","0,70","+0,00%"
"AZEV11","Azevedo & Travassos","500","0,39","+0,00%"
"AHEB3","São Paulo Turismo","400","38,00","+1,33%"
"BMIN4","Banco Mercantil de Investimentos","400","17,00","+5,46%"
"CGRA3","Grazziotin","300","25,08","-0,44%"
"BGIP4","Banese","300","24,40","-0,81%"
"CEBR3","CEB","300","18,74","+0,21%"
"EUCA3","Eucatex","300","17,27","+1,29%"
"BAHI3","Bahema","300","6,09","+1,33%"
"UNIP5","Unipar","200","47,00","-1,88%"
"BALM3","Baumer","200","16,20","+0,00%"
"PTNT3","Pettenati","200","9,83","+0,92%"
"BSLI3","Banco de Brasília","200","9,61","+0,00%"
"BSLI4","Banco de Brasília","200","9,48","+0,85%"
"CGAS5","Comgás","100","127,75","-0,04%"
"CLSC4","Celesc","100","81,70","-1,11%"
"HBTS5","Habitasul","100","31,00","-5,49%"
"COCE3","Coelce","100","29,16","+0,00%"
"CRPG3","Tronox Pigmentos","100","26,51","-5,32%"
"BRSR5","Banrisul","100","17,30","+0,00%"
"RPAD5","Alfa Holdings","100","8,70","+0,00%"
"PLAS3","Plascar","100","6,60","+0,00%"
"DOHL4","Döhler","100","4,18","+0,00%"
"BMKS3","Monark","34","310,00","+1,64%"
"PPLA11","PPLA","20","2,47","-0,80%"
"CRPG6","Tronox Pigmentos","4.000","25,50","-3,04%"
"CLSC3","Celesc","1.700","75,80","+0,53%"
"CEDO4","Cedro Têxtil","800","23,05","+0,04%"
"CTKA4","Karsten","700","18,61","-2,05%"
"GEPA4","Rio Paranapanema Energia","600","28,32","+0,75%"
"TELB3","Telebras","600","14,41","+5,03%"
"WLMM4","WLM","400","33,99","+8,25%"
"ESTR4","Estrela","400","3,73","+0,00%"
"SOND5","Sondotécnica","300","47,00","-9,60%"
"EKTR4","Elektro","300","45,43","-0,04%"
"MWET4","Wetzel","300","8,57","+4,51%"
"GEPA3","Rio Paranapanema Energia","200","26,75","-10,54%"
"SNSY3","Sansuy","200","12,75","-1,09%"
"BALM4","Baumer","200","10,25","+0,49%"
"MAPT4","Cemepe","100","4,40","-2,22%"
"BMEB3","Banco Mercantil do Brasil","700","38,72","+0,00%"
"PATI3","Panatlântica","600","24,50","-7,55%"
"FESA3","Ferbasa","400","12,63","+0,00%"
"PEAB3","Participações Aliança da Bahia","300","44,50","+3,49%"
"CGAS3","Comgás","100","127,00","+0,01%"
"BGIP3","Banese","100","25,50","-4,28%"
"CEDO3","Cedro Têxtil","100","23,00","+0,00%"
"AFLT3","Afluente T","100","7,03","-0,42%"
"PSVM11","PORTO VM","100","5,58","+3,91%"
"EMAE3","EMAE","400","67,80","-0,95%"
"GSHP3","General Shopping & Outlets","100","9,97","+0,00%"
"ENMT4","Energisa MT","1.100","85,00","+2,41%"
"MOAR3","Monteiro Aranha","500","399,51","+0,41%"
"CEEB5","COELBA","200","39,00","+0,00%"
"ENMT3","Energisa MT","100","85,05","-0,53%"
"AHEB5","São Paulo Turismo","100","41,00","+0,00%"
"PATI4","Panatlântica","100","29,50","+1,72%"
"JOPA3","Josapar","800","21,00","-6,63%"
"DTCY3","Dtcom","600","4,35","+8,75%"
"MRSA6B","MRS Logística","100","28,00","-1,79%"
"IGTI4","Jereissati Participações","100","9,30","-1,17%"
"IGTI4","Iguatemi","100","9,30","-1,17%"
"PEAB4","Participações Aliança da Bahia","1.000","51,00","+10,10%"
"BAUH4","Excelsior","300","79,48","+0,61%"
"CBEE3","Ampla Energia","300","14,22","-8,44%"
"LUXM4","Trevisa","300","13,99","+3,94%"
"BDLL4","Bardella","100","8,50","-5,56%"
"MRSA3B","MRS Logística","300","29,99","+3,41%"
"CEED4","CEEE D","100","20,00","-20,00%"
"ELET5","Eletrobras","200","90,00","-5,26%"
"MRSA5B","MRS Logística","100","28,00","-3,45%"
